accession,scientific_name,taxid,hit_def,identity_pct,coverage_pct,evalue,bits,align_length,identities,gaps,query_from,query_to,hit_from,hit_to,subject_length
OZ461628.1,Monkeypox virus,10244,"Monkeypox virus isolate CL288101 genome assembly, complete genome: monopartite",100.0,100.0,0.0,828.419,462,462,0,1,462,46509,46970,187624
OZ254846.1,Monkeypox virus,10244,"Monkeypox virus isolate 24MPX4806V genome assembly, complete genome: monopartite",100.0,100.0,0.0,828.419,462,462,0,1,462,47848,48309,196434
OZ254305.1,Monkeypox virus,10244,"Monkeypox virus isolate 24MPX2280V genome assembly, complete genome: monopartite",100.0,100.0,0.0,828.419,462,462,0,1,462,47593,48054,195588
OZ254730.1,Monkeypox virus,10244,"Monkeypox virus isolate 24MPX4140V genome assembly, complete genome: monopartite",100.0,100.0,0.0,828.419,462,462,0,1,462,47846,48307,196431
PQ221562.1,Monkeypox virus,10244,"Monkeypox virus isolate 22MPX0513C, partial genome",100.0,100.0,0.0,828.419,462,462,0,1,462,47933,48394,196737
OZ254482.1,Monkeypox virus,10244,"Monkeypox virus isolate 24MPX3110V genome assembly, complete genome: monopartite",100.0,100.0,0.0,828.419,462,462,0,1,462,48034,48495,196692
OZ254748.1,Monkeypox virus,10244,"Monkeypox virus isolate 24MPX4186V genome assembly, complete genome: monopartite",100.0,100.0,0.0,828.419,462,462,0,1,462,47844,48305,196419
OZ254390.1,Monkeypox virus,10244,"Monkeypox virus isolate 24MPX2053C_ont genome assembly, complete genome: monopartite",100.0,100.0,0.0,828.419,462,462,0,1,462,48149,48610,196903
OZ254211.1,Monkeypox virus,10244,"Monkeypox virus isolate 24MPX3856V genome assembly, complete genome: monopartite",100.0,100.0,0.0,828.419,462,462,0,1,462,47847,48308,196422
OZ461723.1,Monkeypox virus,10244,"Monkeypox virus isolate CL285721 genome assembly, complete genome: monopartite",100.0,100.0,0.0,828.419,462,462,0,1,462,47238,47699,189578
OZ254549.1,Monkeypox virus,10244,"Monkeypox virus isolate 24MPX3858V genome assembly, complete genome: monopartite",100.0,100.0,0.0,828.419,462,462,0,1,462,47861,48322,196375
OZ254252.1,Monkeypox virus,10244,"Monkeypox virus isolate 24MPX3919V genome assembly, complete genome: monopartite",100.0,100.0,0.0,828.419,462,462,0,1,462,47849,48310,196408
OZ254759.1,Monkeypox virus,10244,"Monkeypox virus isolate 24MPXV-GOM-927_ont genome assembly, complete genome: monopartite",100.0,100.0,0.0,828.419,462,462,0,1,462,46978,47439,194088
OZ461896.1,Monkeypox virus,10244,"Monkeypox virus isolate CL286797 genome assembly, complete genome: monopartite",100.0,100.0,0.0,828.419,462,462,0,1,462,47234,47695,188103
OZ254245.1,Monkeypox virus,10244,"Monkeypox virus isolate 24MPX3328V genome assembly, complete genome: monopartite",100.0,100.0,0.0,828.419,462,462,0,1,462,47837,48298,196375
OZ254189.1,Monkeypox virus,10244,"Monkeypox virus isolate 24MPX3377C genome assembly, complete genome: monopartite",100.0,100.0,0.0,828.419,462,462,0,1,462,47861,48322,196464
